,City,Cloudness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,76,NZ,1547348627,86,-46.19,168.86,59.49,8.75
1,Busselton,0,AU,1547348705,86,-33.64,115.35,72.36,18.07
2,Fortuna,0,ES,1547346600,55,38.18,-1.13,39.2,9.17
3,Ponta do Sol,32,BR,1547348737,88,-20.63,-46.0,67.23,3.38
4,Yar-Sale,88,RU,1547349065,90,66.83,70.83,5.76,21.65
5,Talaya,0,RU,1547346600,74,55.79,84.89,-25.61,2.24
6,Avarua,75,CK,1547344800,70,-21.21,-159.78,86.0,11.41
7,Rundu,8,NA,1547349142,29,-17.91,19.77,68.76,9.75
8,Punta Arenas,75,CL,1547344800,65,-53.16,-70.91,46.4,25.28
9,Atuona,68,PF,1547348731,100,-9.8,-139.03,80.19,15.84
10,Moose Factory,1,CA,1547344800,75,51.26,-80.61,-14.81,4.7
11,Adrar,0,DZ,1547344800,44,27.87,-0.29,39.2,11.41
12,Rio Grande,75,BR,1547346600,88,-32.03,-52.1,71.6,4.7
13,Ulagan,44,RU,1547349144,75,50.63,87.96,2.88,3.53
14,Sistranda,92,NO,1547348819,100,63.73,8.83,41.04,23.73
15,Grindavik,40,IS,1547346600,86,63.84,-22.43,33.8,16.11
16,Yarmouth,48,GB,1547344200,87,50.71,-1.5,50.0,16.11
17,Makakilo City,1,US,1547344620,66,21.35,-158.09,80.06,8.05
18,Barrow,88,AR,1547348562,97,-38.31,-60.23,63.54,10.13
19,Yazykovo,56,RU,1547349145,80,54.3,47.38,7.92,9.91
20,Saskylakh,0,RU,1547348969,0,71.97,114.09,-55.9,4.27
21,Chokurdakh,80,RU,1547348686,37,70.62,147.9,-24.22,8.23
22,Esperance,20,TT,1547344800,78,10.24,-61.45,75.2,5.99
23,Zhigansk,32,RU,1547348812,54,66.77,123.37,-18.46,10.13
24,Vaini,0,IN,1547344800,77,15.34,74.49,62.6,2.24
25,Bedesa,0,ET,1547349146,74,8.9,40.78,37.35,1.7
26,Boa Vista,0,BR,1547344800,61,2.82,-60.67,82.4,13.87
27,Bredasdorp,24,ZA,1547344800,67,-34.53,20.04,62.6,8.05
28,Panjakent,0,UZ,1547346600,62,39.5,67.61,32.0,4.7
29,Upernavik,32,GL,1547348713,100,72.79,-56.15,-5.77,9.35
30,Sao Joao da Barra,48,BR,1547348770,96,-21.64,-41.05,79.38,14.67
31,Cabedelo,20,BR,1547344800,94,-6.97,-34.84,75.2,6.93
32,Iqaluit,5,CA,1547344800,67,63.75,-68.52,-23.81,24.16
33,Kaitangata,100,NZ,1547348673,100,-46.28,169.85,56.07,5.06
